,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
592,"A 60-year-old man is brought to the emergency department after a fall. He has been seen by the triage nurse but has not been evaluated by a physician. He is heard yelling down the hallway, requesting to speak to “whoever is in charge.” He refuses to talk to the emergency resident and insists on talking to the attending physician despite being informed that the attending is currently resuscitating a patient who was in a car accident. He says that he deserves better treatment because he has made numerous contributions to the field of medicine. When asked about his work, he mentions that he was a medical device salesman. He is accompanied by his wife, who appears embarrassed. She claims that her husband frequently makes a scene and apologizes for her husband's behavior. On mental status examination, the patient is oriented to person, place, and time. He appears agitated and speaks in short, pressured sentences. There is no disorder of thought process or content. Which of the following is the most likely diagnosis?",Narcissistic personality disorder,Antisocial personality disorder,Borderline personality disorder,Obsessive compulsive personality disorder,Narcissistic personality disorder,Other,MedQA_USMLE,case_592
593,"A previously healthy 20-year-old woman comes to the physician because of recurrent abdominal cramps, bloating, and diarrhea for 4 months. She describes her stools as greasy, foul-smelling, and difficult to flush. During this time she has had a 6-kg (13.2-lb) weight loss. She has no personal or family history of serious illness. Physical examination shows pallor and cheilitis. Laboratory studies show a hemoglobin concentration of 11 g/dL. Serum concentrations of electrolytes, urea nitrogen, and creatinine are within the reference range. Test of the stool for occult blood is negative and stool microscopy reveals no pathogens and no leukocytes. Analysis of a 24-hour stool sample shows 12 g of fat. The patient is asked to consume 25 g of d-xylose. Five hours later, its concentration is measured in urine at 2 g (N = > 4 g/5 h). The test is repeated after a two-week course of rifaximin, but the urinary concentration of d-xylose remains the same. Which of the following is the most likely diagnosis?",Tropheryma whipplei infection,Lactose intolerance,Autoimmune-mediated inflammation of the colon,"Hypersensitivity to gliadin
""","Hypersensitivity to gliadin
""",Gastrointestinal System,MedQA_USMLE,case_593
594,"A 55-year-old man comes to the physician because of a 3-day history of decreased urine output, progressively worsening bilateral pedal edema, and fatigue. He has a 4-month history of persistent lower back pain. He has hypercholesterolemia and stable angina pectoris. Current medications include atorvastatin, aspirin, and ibuprofen. His pulse is 80/min, respirations are 16/min, and blood pressure is 150/100 mm Hg. Examination shows periorbital and pedal edema and pallor. There is tenderness of the lumbar spinal vertebrae. Straight leg raise test is negative. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 8.9 mg/dl
Serum
Urea nitrogen 20 mg/dl
Creatinine 2.4 mg/dl
Calcium 11.2 mg/dl
Alkaline phosphatase 140 U/L
X-ray of the spine shows diffuse osteopenia and multiple lytic lesions. Which of the following is most likely to confirm the diagnosis?""",24-hour urine protein assay,Serum electrophoresis,Bone marrow biopsy,Non-contrast renal CT,Bone marrow biopsy,Hematology and Oncology,MedQA_USMLE,case_594
595,"Six hours after delivery, a 3050-g (6-lb 12-oz) male newborn is noted to have feeding intolerance and several episodes of bilious vomiting. He was born at term to a healthy 35-year-old woman following a normal vaginal delivery. The pregnancy was uncomplicated, but the patient's mother had missed several of her prenatal checkups. The patient's older brother underwent surgery for pyloric stenosis as an infant. Vital signs are within normal limits. Physical examination shows epicanthus, upward slanting of the eyelids, low-set ears, and a single transverse palmar crease. The lungs are clear to auscultation. A grade 2/6 holosystolic murmur is heard at the left mid to lower sternal border. Abdominal examination shows a distended upper abdomen and a concave-shaped lower abdomen. There is no organomegaly. An x-ray of the abdomen is shown. Which of the following is the most likely diagnosis?",Duodenal atresia,Hypertrophic pyloric stenosis,Hirschsprung's disease,Jejunal atresia,Duodenal atresia,Pediatrics and Neonatology,MedQA_USMLE,case_595
599,"A 45-year-old woman comes to the physician because of shortness of breath while lying on her back over the past month. During this period, she has also had several episodes of bloody coughing. The patient reports that she had a heart problem when she was a child that was treated with antibiotics. She emigrated to the US from Russia 5 years ago. There is no family history of serious illness. Pulmonary examination shows crackles at both lung bases. Cardiac examination is shown. An ECG shows tachycardia and no P waves. Which of the following is the most likely diagnosis?",Aortic valve regurgitation,Mitral valve prolapse,Mitral valve stenosis,Aortic valve stenosis,Mitral valve stenosis,Cardiovascular System,MedQA_USMLE,case_599
600,"A 19-year-old man is brought to the emergency department 35 minutes after being involved in a high-speed motor vehicle collision. On arrival, he is alert, has mild chest pain, and minimal shortness of breath. He has one episode of vomiting in the hospital. His temperature is 37.3°C (99.1°F), pulse is 108/min, respirations are 23/min, and blood pressure is 90/70 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 92%. Examination shows multiple abrasions over his trunk and right upper extremity. There are coarse breath sounds over the right lung base. Cardiac examination shows no murmurs, rubs, or gallop. Infusion of 0.9% saline is begun. He subsequently develops increasing shortness of breath. Arterial blood gas analysis on 60% oxygen shows:
pH 7.36
pCO2 39 mm Hg
pO2 68 mm Hg
HCO3- 18 mEq/L
O2 saturation 81%
An x-ray of the chest shows patchy, irregular infiltrates over the right lung fields. Which of the following is the most likely diagnosis?""",Acute respiratory distress syndrome,Pulmonary contusion,Tracheobronchial injury,Pneumothorax,Pulmonary contusion,Cardiovascular System,MedQA_USMLE,case_600
601,A 60-year-old woman is brought to the emergency department because of altered mental status for 2 hours. She and her husband were at the grocery store when she suddenly could not remember why she was there or how she got there. She has not had any head trauma. She has a history of depression and migraines. She does not smoke and drinks a glass of wine each night with dinner. She takes fluoxetine daily. She appears distressed and anxious. Her vital signs are within normal limits. She is fully alert and oriented to self and place but not to time. Every few minutes she asks how she got to the emergency department. She is able to follow commands and sustain attention. She recalls 3/3 objects immediately and recalls 0/3 objects at 5 minutes. The remainder of the neurological exam shows no abnormalities. Which of the following is the most likely diagnosis?,Dissociative amnesia,Hypoglycemia,Delirium,Transient global amnesia,Transient global amnesia,Neurology,MedQA_USMLE,case_601
602,"A 1-month-old infant is brought to the physician for a well-child examination. His mother reports that she had previously breastfed her son every 2 hours for 15 minutes but is now feeding him every 4 hours for 40 minutes. She says that the infant sweats a lot and is uncomfortable during feeds. He has 6 wet diapers and 2 stools daily. He was born at 36 weeks' gestation. He currently weighs 3500 g (7.7 lb) and is 52 cm (20.4 in) in length. He is awake and alert. His temperature is 37.1°C (98.8°F), pulse is 170/min, respirations are 55/min, and blood pressure is 80/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 99%. Cardiopulmonary examination shows a 4/6 continuous murmur along the upper left sternal border. After confirming the diagnosis via echocardiography, which of the following is the most appropriate next step in the management of this patient?",Prostaglandin E1 infusion,Reassurance and follow-up,Percutaneous surgery,Indomethacin infusion,Indomethacin infusion,Cardiovascular System,MedQA_USMLE,case_602
605,"A 55-year-old man comes to the physician because of a 6-week history of tingling pain in the sole of his right foot when he raises it above chest level during exercises. He reports that he started exercising regularly 2 months ago and that his right calf cramps when he uses the incline feature on the treadmill, forcing him to take frequent breaks. The pain completely disappears after resting for a few minutes. He has an 8-year history of type 2 diabetes mellitus. He has smoked two packs of cigarettes daily for 34 years. His only medication is metformin. His pulse is 82/min, and blood pressure is 170/92 mm Hg. Straight leg raise test elicits pallor and tingling pain in the right foot. There is no pain in the back. His muscle strength is normal. Femoral pulses are palpable; right pedal pulses are absent. Which of the following is the most likely diagnosis?",Diabetic neuropathy,Femoropopliteal artery stenosis,Acute thrombosis of right popliteal vein,"Aortoiliac artery stenosis
""",Femoropopliteal artery stenosis,Cardiovascular System,MedQA_USMLE,case_605
610,"A 19-year-old woman is brought to the physician by her parents because of irritable mood that started 5 days ago. Since then, she has been staying up late at night working on a secret project. She is energetic despite sleeping less than 4 hours per day. Her parents report that she seems easily distracted. She is usually very responsible, but this week she spent her paycheck on supplies for her project. She has never had similar symptoms before. In the past, she has had episodes where she felt too fatigued to go to school and slept until 2 pm every day for 2 weeks at a time. During those times, her parents noticed that she cried excessively, was very indecisive, and expressed feelings of worthlessness. Two months ago, she had an asthma exacerbation and was treated with bronchodilators and steroids. She tried cocaine once in high school but has not used it since. Vital signs are within normal limits. On mental status examination, she is irritable but cooperative. Her speech is pressured and her thought process is linear. Which of the following is the most likely diagnosis?",Substance abuse,Bipolar II disorder,Cyclothymia,"Adverse effect of medications
""",Bipolar II disorder,Other,MedQA_USMLE,case_610
613,"A 70-year-old man comes to the physician for the evaluation of an 8-week history of blood in his stool. Two months ago, he had an episode of bronchitis and was treated with amoxicillin. Since then, he has noticed blood in his stool and on the toilet paper occasionally. The patient has had intermittent constipation for the past 5 years. Six months ago, he had severe left lower quadrant pain and fever that resolved with antibiotic therapy. He underwent a colonoscopy 3 years ago, which did not show any evidence of malignancy. He takes levothyroxine for hypothyroidism. He had smoked one pack of cigarettes daily for 45 years, but quit smoking 10 years ago. He drinks one glass of red wine every night. He appears pale. He is 180 cm (5 ft 11 in) tall and weighs 98 kg (216 lb); BMI is 32 kg/m2. His temperature is 36°C (96.8°F), pulse is 85/min, and blood pressure is 135/80 mm Hg. Physical examination shows pale conjunctivae. Cardiopulmonary examination shows no abnormalities. The abdomen is soft and nontender with no organomegaly. Digital rectal examination shows no masses. Test of the stool for occult blood is positive. Laboratory studies show:
Hemoglobin 11 g/dL
Mean corpuscular volume 76 μm3
Red cell distribution width 17% (N = 13–15)
Leukocyte count 5,000/mm3
Which of the following is the most likely diagnosis?""",Colorectal carcinoma,Diverticulosis,Ischemic colitis,Hemorrhoids,Diverticulosis,Gastrointestinal System,MedQA_USMLE,case_613
615,"A 28-year-old man comes to the physician for the evaluation of five episodes of painful oral ulcers over the past year. During this period, he has also had two painful genital ulcers that healed without treatment. He reports frequently having diffuse joint pain, malaise, and low-grade fever. There is no personal or family history of serious illness. He emigrated to the US from Syria with his family four years ago. He is sexually active with one female partner and they do not use condoms. He takes no medications. His temperature is 38°C (100.4°F), pulse is 90/min, and blood pressure is 130/80 mm Hg. Physical examination shows three painful ulcers on the oral buccal mucosa. Pelvic examination shows that the external genitalia has several healing scars. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Aphthous stomatitis,Herpes simplex virus infection,Behcet disease,Ankylosing spondylitis,Behcet disease,Infectious Diseases,MedQA_USMLE,case_615
617,"A 55-year-old postmenopausal woman comes to the physician for a screening Pap smear. She has no history of serious illness. Her last Pap smear was 10 years ago and showed no abnormalities. She has smoked one-half pack of cigarettes daily for 20 years and drinks 3 bottles of wine per week. She is sexually active with multiple male partners and uses condoms inconsistently. Her paternal grandmother had ovarian cancer and her maternal aunt had breast cancer. Pelvic examination shows multiple red, fleshy polypoid masses on the anterior vaginal wall. A biopsy is obtained and histology shows large cells with abundant clear cytoplasm. Which of the following is the most significant risk factor for this diagnosis?",Human papillomavirus infection,Alcohol consumption,Family history of breast and ovarian cancer,Diethylstilbestrol exposure in utero,Diethylstilbestrol exposure in utero,Obstetrics and Gynecology,MedQA_USMLE,case_617
619,"A 20-year-old man is brought to the emergency department 20 minutes after he sustained a stab wound to his back during an altercation. He reports weakness and numbness of the lower extremities. He has no history of serious illness. On arrival, he is alert and cooperative. His pulse is 90/min, and blood pressure is 100/65 mm Hg. Examination shows a deep 4-cm laceration on his back next to the vertebral column at the level of the T10 vertebra. Neurologic examination shows right-sided flaccid paralysis with a diminished vibratory sense ipsilaterally, decreased sensation to light touch at the level of his laceration and below, and left-sided loss of hot, cold, and pin-prick sensation at the level of the umbilicus and below. Deep tendon reflexes of his right lower extremity are 4+ and symmetrical. Babinski sign is absent bilaterally. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Brown-Sequard syndrome,Posterior cord syndrome,Anterior cord syndrome,Central cord syndrome,Brown-Sequard syndrome,Neurology,MedQA_USMLE,case_619
620,"A previously healthy 16-year-old boy is brought to the physician by his parents for evaluation because of extreme irritability, fatigue, and loss of appetite for 3 weeks. Five months ago, his grandfather, whom he was very close to, passed away from chronic lymphocytic leukemia. He used to enjoy playing soccer but quit his soccer team last week. When he comes home from school he goes straight to bed and sleeps for 11–12 hours each night. He previously had good grades, but his teachers report that he has been disrespectful and distracted in class and failed an exam last week. He tried alcohol twice at a party last year and he has never smoked cigarettes. Vital signs are within normal limits. On mental status examination, he avoids making eye contact but cooperates with the exam. His affect is limited and he describes an irritable mood. He is easily distracted and has a difficult time focusing for an extended conversation. Which of the following is the most likely diagnosis?",Major depressive disorder,Depression with atypical features,Adjustment disorder with depressed mood,Attention deficit hyperactivity disorder,Major depressive disorder,Other,MedQA_USMLE,case_620
625,"A 52-year-old man comes to the physician for a routine medical check-up. The patient feels well. He has hypertension, type 2 diabetes mellitus, and recurrent panic attacks. He had a myocardial infarction 3 years ago. He underwent a left inguinal hernia repair at the age of 25 years. A colonoscopy 2 years ago was normal. He works as a nurse at a local hospital. He is married and has two children. His father died of prostate cancer at the age of 70 years. He had smoked one pack of cigarettes daily for 25 years but quit following his myocardial infarction. He drinks one to two beers on the weekends. He has never used illicit drugs. Current medications include aspirin, atorvastatin, lisinopril, metoprolol, fluoxetine, metformin, and a multivitamin. He appears well-nourished. Temperature is 36.8°C (98.2°F), pulse is 70/min, and blood pressure is 125/75 mm Hg. Lungs are clear to auscultation. Cardiac examination shows a high-frequency, mid-to-late systolic murmur that is best heard at the apex. The abdomen is soft and nontender. The remainder of the physical examination shows no abnormalities. Which of the following is the most likely diagnosis?",Mitral valve prolapse,Aortic valve regurgitation,Pulmonary valve regurgitation,Pulmonary valve stenosis,Mitral valve prolapse,Cardiovascular System,MedQA_USMLE,case_625
626,"A 12-year-old boy is brought to the physician because of fever, malaise, and a painful, itchy rash on the right shoulder for 2 weeks. The patient's mother says the boy's condition has worsened over the past 4 days. He has a history of atopic dermatitis. He has lived with his mother at several public shelters since she separated from his physically abusive father 2 months ago. His immunizations are up-to-date. There is cervical lymphadenopathy. Laboratory studies show no abnormalities. A photograph of the rash is shown. Which of the following is the most likely diagnosis?",Eczema herpeticum,"Chickenpox
""",Bed bug bites,Nonbullous impetigo,Eczema herpeticum,Dermatology,MedQA_USMLE,case_626
627,"A 62-year-old woman comes to the physician because of increasing blurring of vision in both eyes. She says that the blurring has made it difficult to read, although she has noticed that she can read a little better if she holds the book below or above eye level. She also requires a bright light to look at objects. She reports that her symptoms began 8 years ago and have gradually gotten worse over time. She has hypertension and type 2 diabetes mellitus. Current medications include glyburide and lisinopril. When looking at an Amsler grid, she says that the lines in the center appear wavy and bent. An image of her retina, as viewed through fundoscopy is shown. Which of the following is the most likely diagnosis?",Hypertensive retinopathy,"Age-related macular degeneration
""",Cystoid macular edema,Diabetic retinopathy,"Age-related macular degeneration
""",Other,MedQA_USMLE,case_627
628,"A 50-year-old woman comes to the physician because of blisters on her forearm that appeared 3 days ago. She also reports pain in her left cheek when eating and pain during sexual intercourse for the past week. She has not been sick for the past 6 months. She has started hiking in the woods on the weekends with her son a couple months ago but has been careful to avoid poison ivy. She has a history of hypertension and osteoarthritis. She recently started taking captopril and stopped taking meloxicam 2 weeks ago. She has a family history of pernicious anemia and Graves' disease. The patient's vital signs are within normal limits. Examination reveals multiple, flaccid blisters on the volar surface of the forearm and ulcers on the buccal, gingival, and vulvar mucosa. The epidermis on the forearm separates when the skin is lightly stroked. The total body surface area involvement of the blisters is estimated to be 10%. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Toxic epidermal necrolysis,Behcet disease,Dermatitis herpetiformis,Pemphigus vulgaris,Pemphigus vulgaris,Dermatology,MedQA_USMLE,case_628
630,"A 68-year-old man comes to the physician because of a 3-month history of a painless skin lesion on his neck. The lesion has gradually become darker in color. Sometimes it is itchy. He also noticed one similar lesion on his lower back. He is a retired gardener. He has smoked half a pack of cigarettes daily for 40 years. His temperature is 36.7°C (98°F), pulse is 72/min, and blood pressure is 123/78 mm Hg. Physical examination shows a 0.8-cm hyperpigmented papule on his neck and a 0.6-cm hyperpigmented papule on his lower back, both of which have a greasy and wax-like appearance. A photograph of the neck is shown. Which of the following is the most likely diagnosis?","Dermatofibroma
""",Compound nevus,Seborrheic keratosis,Basal cell carcinoma,Seborrheic keratosis,Dermatology,MedQA_USMLE,case_630
634,"A 73-year-old man comes in to the emergency department because of nausea and severe pain in his upper abdomen and right shoulder blade for the past day. He was able to eat a little for breakfast but vomited up the meal a couple of hours later. He has type 2 diabetes mellitus treated with metformin. He has smoked half a pack of cigarettes daily for 40 years and drinks 4 beers every week. He appears acutely distressed. His temperature is 38.8°C (102°F), pulse is 124/min, and blood pressure is 92/68 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 95%. The abdomen is soft and there is tenderness to palpation of the right upper quadrant with soft crepitus. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 14.3 g/dL
Leukocyte count 18,100/mm3
Platelet count 216,000/mm3
Serum
Aspartate aminotransferase (AST, SGOT) 41 U/L
Alanine aminotransferase (ALT, SGPT) 19 U/L
Alkaline phosphatase 110 U/L
Total bilirubin 0.9 mg/dL
Direct bilirubin 0.2 mg/dL
Albumin 4.1 g/dL
Ultrasonography of the right upper quadrant shows a gallbladder with an air-filled, thickened wall and no stones in the lumen. Which of the following is the most likely diagnosis?""",Primary sclerosing cholangitis,Chronic pancreatitis with pseudocyst rupture,Emphysematous cholecystitis,Perforated duodenal ulcer,Emphysematous cholecystitis,Gastrointestinal System,MedQA_USMLE,case_634
639,"A 37-year-old man comes to the physician because of increasing swelling and pain of his right knee for the past month. He has not had any trauma to the knee or previous problems with his joints. He has hypertension. His only medication is hydrochlorothiazide. He works as a carpet installer. He drinks two to three beers daily. He is 170 cm (5 ft 7 in) tall and weighs 97 kg (214 lb); BMI is 33.6 kg/m2. His temperature is 37°C (98.6°F), pulse is 88/min, and blood pressure is 122/82 mm Hg. Examination of the right knee shows swelling and erythema; there is fluctuant edema over the lower part of the patella. The range of flexion is limited because of the pain. The skin over the site of his pain is not warm. There is tenderness on palpation of the patella; there is no joint line tenderness. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?","Osgood-Schlatter disease
""",Prepatellar bursitis,Septic arthritis,Gout,Prepatellar bursitis,Rheumatology,MedQA_USMLE,case_639
640,"A 40-year-old woman comes to the emergency department because of difficulty walking for the past 4 hours. She first noticed her symptoms after getting up this morning and her foot dragging while walking. She feels tired. She has a history of chronic sinusitis. Six months ago, she was diagnosed with asthma. Current medications include an albuterol inhaler and inhaled corticosteroids. Her temperature is 38.9°C (102°F), pulse is 80/min, and her blood pressure is 140/90 mm Hg. Auscultation of her lungs shows diffuse wheezing over bilateral lung fields. Physical examination shows tender subcutaneous nodules on the extensor surfaces of the elbows. There are palpable, non-blanching erythematous lesions on both shins. Dorsiflexion of the right foot is impaired. Sensation to pinprick, light touch, and vibration is decreased over the ulnar aspect of the left forearm. Laboratory studies show:
Hemoglobin 11.3 g/dL
Leukocyte count 24,500
Segmented neutrophils 48%
Eosinophils 29%
Lymphocytes 19%
Monocytes 4%
Platelet count 290,000/mm3
Serum
Urea nitrogen 32 mg/dL
Creatinine 1.85 mg/dL
Urine
Blood 2+
Protein 3+
Which of the following is the most likely diagnosis in this patient?""",Goodpasture syndrome,Henoch-Schönlein purpura,"Eosinophilic granulomatosis with polyangiitis
""",Granulomatosis with polyangiitis,"Eosinophilic granulomatosis with polyangiitis
""",Neurology,MedQA_USMLE,case_640
641,"A 50-year-old man comes to the physician for the evaluation of recurrent episodes of chest pain, difficulty breathing, and rapid heart beating over the past two months. During this period, he has had a 4-kg (8.8-lb) weight loss, malaise, pain in both knees, and diffuse muscle pain. Five years ago, he was diagnosed with chronic hepatitis B infection and was started on tenofovir. His temperature is 38°C (100.4°F), pulse is 110/min, and blood pressure is 150/90 mm Hg. Cardiopulmonary examination shows no abnormalities except for tachycardia. There are several ulcerations around the ankle and calves bilaterally. Laboratory studies show:
Hemoglobin 11 g/dL
Leukocyte count 14,000/mm3
Erythrocyte sedimentation rate 80 mm/h
Serum
Perinuclear anti-neutrophil cytoplasmic antibodies negative
Hepatitis B surface antigen positive
Urine
Protein +2
RBC 6-7/hpf
Which of the following is the most likely diagnosis?""",Giant cell arteritis,Microscopic polyangiitis,Churg-Strauss syndrome,Polyarteritis nodosa,Polyarteritis nodosa,Rheumatology,MedQA_USMLE,case_641
642,"A 78-year-old man comes to the physician for evaluation of progressive hearing loss in both ears over the past year. He has difficulties understanding conversations in crowded places and when more than one person talks at the same time. He has no dizziness, ear discharge, ringing noise, or ear pain. He has a history of hypertension, hypercholesterolemia, and type 2 diabetes mellitus. Medications include enalapril, metformin, and atorvastatin. Vital signs are within normal limits. Otoscopic examination shows pearly gray, translucent tympanic membranes with a normal light reflex. A vibrating 512 Hz tuning fork is placed on the left mastoid process. Once the patient no longer hears a tone, the fork is held over the ipsilateral ear and the patient reports to hear the tone again. The same test is repeated on the right side with similar results. There is no lateralization when a vibrating 512 Hz tuning fork is placed in the middle of the forehead. Which of the following is the most likely diagnosis?","Acoustic neuroma
""",Ototoxicity,Presbycusis,Cholesteatoma,Presbycusis,Other,MedQA_USMLE,case_642
643,"A 7-year-old girl is brought to the emergency department because she has had abdominal pain and vomiting for the past day. The pain is intermittent, diffuse in nature, and worse after meals. She does not have loose or bloody stools. She has had a nonpruritic rash on her legs and swelling of her ankles for 6 days. She was treated with oral amoxicillin for a sore throat 2 weeks ago. Her immunizations are up-to-date. Vital signs are within normal limits. Examination of the lower extremities shows non-blanching, raised erythematous papules. The left ankle joint is swollen and warm, and its range of motion is limited by pain. Abdominal examination shows tenderness to palpation in the left lower quadrant without guarding or rebound. Bowel sounds are normal. Test of the stool for occult blood is positive. Laboratory studies show:
Hemoglobin 10.1 g/dL
Leukocyte count
11,800/mm3
Platelet count 431,000/mm3
Erythrocyte sedimentation rate 45 mm/h
Serum
Glucose 72 mg/dL
Creatinine 0.9 mg/dL
Which of the following is the most likely diagnosis?""",Leukocytoclastic vasculitis,Drug-induced hypersensitivity syndrome,Immune thrombocytopenic purpura,Meninigococcal septicemia,Leukocytoclastic vasculitis,Pediatrics and Neonatology,MedQA_USMLE,case_643
644,"A 49-year-old woman is brought to the emergency department by her daughter because of increasing arthralgia, headache, and somnolence for the past week. She has a history of systemic lupus erythematosus without vital organ involvement. She last received low-dose glucocorticoids 2 months ago. Her temperature is 38.6 °C (101.5 °F), pulse is 80/min, respirations are 21/min, and blood pressure is 129/80 mm Hg. She is confused and disoriented. Examination shows scleral icterus and ecchymoses over the trunk and legs. Neurological examination is otherwise within normal limits. Laboratory studies show:
Hemoglobin 8.7 g/dL
Leukocyte count 6,200/mm3
Platelet count 25,000/mm3
Prothrombin time 15 seconds
Partial thromboplastin time 39 seconds
Fibrin split products negative
Serum
Bilirubin
Total 4.9 mg/dL
Direct 0.5 mg/dL
A blood smear shows numerous fragmented red blood cells. Urinalysis shows hematuria and proteinuria. Which of the following is the most likely diagnosis?""",Thrombotic thrombocytopenic purpura,Bernard-Soulier syndrome,Immune thrombocytopenic purpura,Glanzmann thrombasthenia,Thrombotic thrombocytopenic purpura,Hematology and Oncology,MedQA_USMLE,case_644
645,"A 57-year-old woman comes to the physician because of a 6-month history of tinnitus and progressive hearing loss in the left ear. She has type 2 diabetes mellitus and Raynaud syndrome. Her current medications include metformin, nifedipine, and a multivitamin. She appears well. Vital signs are within normal limits. Physical examination shows no abnormalities. A vibrating tuning fork is placed on the left mastoid process. Immediately after the patient does not hear a tone, the tuning fork is held over the left ear and she reports hearing the tuning fork again. The same test is repeated on the right side and shows the same pattern. The vibration tuning fork is then placed on the middle of the forehead and the patient hears the sound louder in the right ear. Which of the following is the most likely diagnosis?","Ménière disease
""",Presbycusis,Meningioma,Acoustic neuroma,Acoustic neuroma,Other,MedQA_USMLE,case_645
648,"An 8-year-old girl is brought to the physician by her parents because they are concerned with her behavior. She has temper outbursts six or seven times per week, which last anywhere between 5 minutes to half an hour or until she becomes tired. According to her father, she screams at others and throws things in anger “when things don't go her way.” He says these outbursts started when she was 6 and a half years old and even between the outbursts, she is constantly irritable. She had been suspended from school three times in the past year for physical aggression, but her grades have remained unaffected. She appears agitated and restless. Physical examination shows no abnormalities. During the mental status examination, she is uncooperative and refuses to answer questions. What is the most likely diagnosis in this child?",Conduct disorder,Attention deficit hyperactive disorder,Disruptive mood dysregulation disorder,Pediatric bipolar disorder,Disruptive mood dysregulation disorder,Pediatrics and Neonatology,MedQA_USMLE,case_648
650,"A 28-year-old woman is brought to the emergency department 30 minutes after being involved in a high-speed motor vehicle collision in which she was the unrestrained driver. On arrival, she is semiconscious and incoherent. She has shortness of breath and is cyanotic. Her pulse is 112/min, respirations are 59/min, and blood pressure is 128/89 mm Hg. Examination shows a 3-cm (1.2-in) laceration on the forehead and multiple abrasions over the thorax and abdomen. There is crepitation on palpation of the thorax on the right. Auscultation of the lung shows decreased breath sounds on the right side. A crunching sound synchronous with the heartbeat is heard best over the precordium. There is dullness on percussion of the right hemithorax. The lips and tongue have a bluish discoloration. There is an open femur fracture on the left. The remainder of the examination shows no abnormalities. Arterial blood gas analysis on room air shows:
pH 7.31
PCO2 55 mm Hg
PO2 42 mm Hg
HCO3- 22 mEq/L
O2 saturation 76%
The patient is intubated and mechanically ventilated. Infusion of 0.9% saline is begun. Which of the following is the most likely diagnosis?""",Bronchial rupture,Aortic dissection,Myocardial rupture,Pulmonary embolism,Bronchial rupture,Other,MedQA_USMLE,case_650
653,"A 30-year-old primigravid woman at 22 weeks' gestation is brought to the emergency department by her husband for lethargy, nausea, and vomiting for 4 days. This morning she became drowsy. She returned from a business trip to Sudan 3 weeks ago. She denies eating any seafood while traveling. Medications include iron supplements and a multivitamin. Her immunizations are up-to-date and she has never received blood products. Her temperature is 38.9°C (102°F), pulse is 92/min, and blood pressure is 122/76 mm Hg. She is oriented to person and place. Examination shows jaundice and mild asterixis. Pelvic examination shows a uterus consistent in size with a 22-week gestation. Laboratory studies show:
Hemoglobin 11.2 g/dL
Prothrombin time 18 sec (INR=2.0)
Serum
Total bilirubin 4.4 mg/dL
Alkaline phosphatase 398 U/L
AST 4,702 U/L
ALT 3,551 U/L
Lactate dehydrogenase 3,412 U/L
Anti-nuclear antibody negative
Anti-smooth muscle antibody negative
Anti-CMV antibody negative
Anti-EBV nuclear antigen antibody negative
An ELISA for HIV is negative. Which of the following is most likely to confirm the diagnosis?""",Anti-HAV IgM,Anti-HAV IgG,HBsAg,Anti-HEV IgM,Anti-HEV IgM,Infectious Diseases,MedQA_USMLE,case_653
654,"A 53-year-old woman is brought to the emergency department because of an episode of lightheadedness and left arm weakness for the last hour. Her symptoms were preceded by tremors, palpitations, and diaphoresis. During the past 3 months, she has had increased appetite and has gained 6.8 kg (15 lbs). She has hypertension, hyperlipidemia, anxiety disorder, and gastroesophageal reflux. She works as a nurse in an ICU and has been under more stress than usual. She does not smoke. She drinks 5 glasses of wine every week. Current medications include enalapril, atorvastatin, fluoxetine, and omeprazole. She is 168 cm (5 ft 6 in) tall and weighs 100 kg (220 lb); BMI is 36 kg/m2. Her temperature is 37°C (98.8°F), pulse is 78/min, and blood pressure is 130/80 mm Hg. Cardiopulmonary examination shows no abnormalities. The abdomen is soft and nontender. Fasting serum studies show:
Na+ 140 mEq/L
K+ 3.5 mEq/L
HCO3- 22 mEq/L
Creatinine 0.8 mg/dL
Glucose 37 mg/dL
Insulin 280 μU/mL (N=11–240)
Thyroid-stimulating hormone 2.8 μU/mL
C-peptide 4.9 ng/mL (N=0.8–3.1)
Urine screen for sulfonylurea is negative. Which of the following is the most likely diagnosis?""",Binge eating disorder,Polycystic ovarian syndrome,Exogenous hypoglycemia,Insulinoma,Insulinoma,Endocrinology,MedQA_USMLE,case_654
